Unnamed: 0	未命名: 0
""""	"" "" "
306	306
1a	1a
.	.
Hypoxic	缺氧
-	-
ischaemic	缺血性
encephalopathy	脑病
secondary	次要
to	to
ventricular	心室
fibrillation	纤维性颤动
cardiac	心脏
arrest	逮捕
;	;
1b	1b
.	.
Malfunction	故障
of	of
implanted	植入式
cardiac	心脏
pacemaker	起搏器
;	;
1c	1c
.	.
Atrial	心房
Fibrillation	纤颤
;	;
2	2
.	.
Mitral	二尖瓣
Valve	阀门
replacement	replacement
for	for
mitral	二尖瓣
stenosis	狭窄
,	,
pulmonary	肺性
hypertension	高血压
,	,
systemic	系统性
hypertension	高血压
and	and
rheumatic	风湿病
fever	发烧
;	;
Conclusion	Conclusion
:	:
Natural	自然
Causes0	Causes0
""""	"" "" "
